09:22:34.866 23.1C | 3.00 V
09:22:36.131 23.1C | 3.02 V
09:22:37.332 23.1C | 3.01 V
09:22:38.542 23.1C | 3.00 V
09:22:39.795 23.1C | 3.02 V
09:22:40.992 23.1C | 3.02 V
09:22:42.217 23.1C | 3.00 V
09:22:43.442 23.1C | 3.02 V
09:22:44.667 23.1C | 3.02 V
09:22:45.892 23.1C | 3.01 V
09:22:47.125 23.1C | 3.01 V
09:22:48.358 23.1C | 3.02 V
09:22:49.567 23.1C | 3.01 V
09:22:50.792 23.1C | 3.01 V
09:22:52.017 23.1C | 3.02 V
09:22:53.241 23.1C | 3.01 V
09:22:54.468 23.1C | 3.01 V
09:22:55.692 23.1C | 3.02 V
09:22:56.917 23.1C | 3.01 V
09:22:58.143 23.1C | 3.01 V
09:22:59.368 23.1C | 3.02 V
09:23:00.593 23.1C | 3.02 V
09:23:01.822 23.1C | 3.01 V
09:23:03.104 23.1C | 3.02 V
09:23:04.268 23.1C | 3.02 V
09:23:05.514 23.1C | 3.01 V
09:23:06.743 23.1C | 3.02 V
09:23:07.945 23.1C | 3.03 V
09:23:09.194 23.1C | 3.01 V
09:23:10.395 23.1C | 3.02 V
09:23:11.618 23.1C | 3.02 V
09:23:12.843 23.1C | 3.01 V
09:23:14.078 23.1C | 3.02 V
09:23:15.293 23.1C | 3.03 V
09:23:16.521 23.1C | 3.01 V
09:23:17.754 23.1C | 3.01 V
09:23:18.969 23.1C | 3.02 V
09:23:20.195 23.1C | 3.01 V
09:23:21.421 23.1C | 3.01 V
09:23:22.645 23.1C | 3.02 V
09:23:23.887 23.1C | 3.01 V
09:23:25.106 23.1C | 3.01 V
09:23:26.331 23.1C | 3.02 V
09:23:27.546 23.1C | 3.01 V
09:23:28.770 23.1C | 3.01 V
09:23:29.995 23.1C | 3.02 V
09:23:31.220 23.1C | 3.01 V
09:23:32.469 23.1C | 3.01 V
09:23:33.670 23.1C | 3.02 V
09:23:34.897 23.1C | 3.02 V
09:23:36.143 23.1C | 3.01 V
09:23:37.352 23.1C | 3.01 V
09:23:38.582 23.1C | 3.02 V
09:23:39.801 23.1C | 3.00 V
09:23:41.026 23.1C | 3.02 V
09:23:42.246 23.1C | 3.02 V
09:23:43.472 23.1C | 3.00 V
09:23:44.697 23.1C | 3.01 V
09:23:45.945 23.1C | 3.01 V
09:23:47.146 23.1C | 3.01 V
09:23:48.371 23.1C | 3.01 V
09:23:49.597 23.1C | 3.02 V
09:23:50.820 23.1C | 3.00 V
09:23:52.046 23.1C | 3.00 V
09:23:53.286 23.1C | 3.01 V
09:23:54.498 23.1C | 3.00 V
09:23:55.723 23.1C | 3.00 V
09:23:56.953 23.1C | 3.02 V
09:23:58.182 23.1C | 3.00 V
09:23:59.398 23.1C | 3.00 V
09:24:00.621 23.1C | 3.01 V
09:24:01.847 23.1C | 3.00 V
09:24:03.071 23.1C | 3.00 V
09:24:04.314 23.1C | 3.02 V
09:24:05.522 23.1C | 3.00 V
09:24:06.748 23.1C | 3.00 V
09:24:07.974 23.1C | 3.01 V
09:24:09.201 23.1C | 3.00 V
09:24:10.429 23.1C | 3.00 V
09:24:11.648 23.1C | 3.01 V
09:24:12.873 23.1C | 3.01 V
09:24:14.104 23.1C | 3.00 V
09:24:15.325 23.1C | 3.01 V
09:24:16.563 23.1C | 3.01 V
09:24:17.773 23.1C | 3.00 V
09:24:18.998 23.1C | 3.01 V
09:24:20.222 23.1C | 3.01 V
09:24:21.448 23.1C | 3.00 V
09:24:22.674 23.1C | 3.00 V
09:24:23.897 23.1C | 3.02 V
09:24:25.123 23.1C | 3.00 V
09:24:26.348 23.1C | 3.00 V
09:24:27.588 23.1C | 3.01 V
09:24:28.802 23.1C | 3.00 V
09:24:30.030 23.1C | 3.00 V
09:24:31.272 23.1C | 3.01 V
09:24:32.473 23.1C | 3.00 V
09:24:33.700 23.1C | 2.99 V
09:24:34.925 23.1C | 3.01 V
09:24:36.150 23.1C | 3.00 V
09:24:37.376 23.1C | 2.99 V
09:24:38.601 23.1C | 3.01 V
09:24:39.824 23.1C | 3.00 V
09:24:41.049 23.1C | 3.00 V
09:24:42.278 23.1C | 3.01 V
09:24:43.506 23.1C | 3.00 V
09:24:44.741 23.1C | 3.00 V
09:24:45.951 23.1C | 3.00 V
09:24:47.174 23.1C | 3.00 V
09:24:48.424 23.1C | 3.00 V
09:24:49.624 23.1C | 3.01 V
09:24:50.892 23.1C | 2.99 V
09:24:52.076 23.1C | 2.99 V
09:24:53.302 23.1C | 3.01 V
09:24:54.527 23.1C | 3.00 V
09:24:55.752 23.1C | 3.00 V
09:24:56.977 23.1C | 3.01 V
09:24:58.201 23.1C | 3.00 V
09:24:59.430 23.1C | 2.99 V
09:25:00.663 23.1C | 3.01 V
09:25:01.876 23.1C | 3.01 V
09:25:03.101 23.1C | 3.00 V
09:25:04.326 23.1C | 3.00 V
09:25:05.553 23.1C | 3.00 V
09:25:06.782 23.1C | 3.00 V
09:25:08.001 23.1C | 3.01 V
09:25:09.243 23.1C | 3.01 V
