21:11:41.459 esp_3_10s_5m -> 22.4 C | pin34= 1851 | Bat = 3.46 V
21:11:51.460 esp_3_10s_5m -> 22.4 C | pin34= 1849 | Bat = 3.50 V
21:12:01.460 esp_3_10s_5m -> 22.4 C | pin34= 1845 | Bat = 3.49 V
21:12:11.959 esp_3_10s_5m -> 22.4 C | pin34= 1847 | Bat = 3.50 V
21:12:21.959 esp_3_10s_5m -> 22.4 C | pin34= 1843 | Bat = 3.49 V
21:12:32.460 esp_3_10s_5m -> 22.4 C | pin34= 1843 | Bat = 3.49 V
21:12:42.461 esp_3_10s_5m -> 22.4 C | pin34= 1846 | Bat = 3.33 V
21:12:52.959 esp_3_10s_5m -> 22.4 C | pin34= 1842 | Bat = 3.50 V
21:13:02.960 esp_3_10s_5m -> 22.4 C | pin34= 1847 | Bat = 3.50 V
21:13:13.459 esp_3_10s_5m -> 22.4 C | pin34= 1845 | Bat = 3.44 V
21:13:23.460 esp_3_10s_5m -> 22.4 C | pin34= 1845 | Bat = 3.48 V
21:13:33.960 esp_3_10s_5m -> 22.4 C | pin34= 1845 | Bat = 3.44 V
21:13:43.958 esp_3_10s_5m -> 22.4 C | pin34= 1847 | Bat = 3.48 V
21:13:53.959 esp_3_10s_5m -> 22.4 C | pin34= 1847 | Bat = 3.48 V
21:14:04.466 esp_3_10s_5m -> 22.4 C | pin34= 1755 | Bat = 3.35 V
21:14:14.465 esp_3_10s_5m -> 22.4 C | pin34= 1845 | Bat = 3.48 V
21:14:24.963 esp_3_10s_5m -> 22.4 C | pin34= 1843 | Bat = 3.48 V
21:14:34.961 esp_3_10s_5m -> 22.4 C | pin34= 1847 | Bat = 3.48 V
21:14:45.463 esp_3_10s_5m -> 22.4 C | pin34= 1760 | Bat = 3.43 V
21:14:56.459 esp_3_10s_5m -> 22.4 C | pin34= 1844 | Bat = 3.48 V
21:15:05.960 esp_3_10s_5m -> 22.4 C | pin34= 1842 | Bat = 3.43 V
21:15:15.960 esp_3_10s_5m -> 22.4 C | pin34= 1840 | Bat = 3.48 V
21:15:26.959 esp_3_10s_5m -> 22.4 C | pin34= 1754 | Bat = 3.34 V
21:15:36.459 esp_3_10s_5m -> 22.4 C | pin34= 1840 | Bat = 3.47 V
21:15:46.460 esp_3_10s_5m -> 22.4 C | pin34= 1849 | Bat = 3.48 V
