17:20:19.982 Connecting to ESP32-2-10s ...
17:20:21.335 Connected
17:20:25.745 sensor_2_10s_5m -> 25.3 C | 3.43 V
17:20:36.212 sensor_2_10s_5m -> 25.3 C | 3.61 V
17:20:46.710 sensor_2_10s_5m -> 25.2 C | 3.60 V
17:20:57.212 sensor_2_10s_5m -> 25.1 C | 3.60 V
17:21:06.713 sensor_2_10s_5m -> 25.1 C | 3.59 V
17:21:17.212 sensor_2_10s_5m -> 25.0 C | 3.59 V
17:21:27.211 sensor_2_10s_5m -> 25.0 C | 3.53 V
17:21:37.714 sensor_2_10s_5m -> 24.9 C | 3.57 V
17:21:47.716 sensor_2_10s_5m -> 24.9 C | 3.53 V
17:21:58.210 sensor_2_10s_5m -> 24.8 C | 3.56 V
17:22:08.213 sensor_2_10s_5m -> 24.8 C | 3.58 V
17:22:18.211 sensor_2_10s_5m -> 24.7 C | 3.57 V
17:22:28.711 sensor_2_10s_5m -> 24.7 C | 3.57 V
17:22:38.711 sensor_2_10s_5m -> 24.7 C | 3.57 V
17:22:49.709 sensor_2_10s_5m -> 24.6 C | 3.56 V
17:22:59.210 sensor_2_10s_5m -> 24.6 C | 3.56 V
17:23:09.711 sensor_2_10s_5m -> 24.6 C | 3.55 V
17:23:19.711 sensor_2_10s_5m -> 24.5 C | 3.55 V
17:23:30.211 sensor_2_10s_5m -> 24.5 C | 3.53 V
17:23:40.211 sensor_2_10s_5m -> 24.4 C | 3.50 V
17:23:50.713 sensor_2_10s_5m -> 24.4 C | 3.53 V
17:24:00.710 sensor_2_10s_5m -> 24.4 C | 3.54 V
17:24:10.712 sensor_2_10s_5m -> 24.3 C | 3.54 V
17:24:21.211 sensor_2_10s_5m -> 24.3 C | 3.53 V
17:24:31.709 sensor_2_10s_5m -> 24.3 C | 3.53 V
17:24:41.712 sensor_2_10s_5m -> 24.3 C | 3.53 V
17:24:51.711 sensor_2_10s_5m -> 24.3 C | 3.48 V
17:25:02.213 sensor_2_10s_5m -> 24.2 C | 3.51 V
17:25:12.213 sensor_2_10s_5m -> 24.2 C | 3.52 V
17:25:22.710 sensor_2_10s_5m -> 24.1 C | 3.50 V
17:25:32.712 sensor_2_10s_5m -> 24.1 C | 3.51 V
17:25:42.713 sensor_2_10s_5m -> 24.1 C | 3.51 V
17:25:53.211 sensor_2_10s_5m -> 24.1 C | 3.51 V
17:26:03.211 sensor_2_10s_5m -> 24.1 C | 3.51 V
17:26:13.710 sensor_2_10s_5m -> 24.0 C | 3.50 V
17:26:23.711 sensor_2_10s_5m -> 24.0 C | 3.50 V
17:26:34.211 sensor_2_10s_5m -> 24.0 C | 3.50 V
17:26:44.212 sensor_2_10s_5m -> 24.0 C | 3.50 V
17:26:54.712 sensor_2_10s_5m -> 23.9 C | 3.48 V
17:27:04.711 sensor_2_10s_5m -> 23.9 C | 3.47 V
17:27:15.212 sensor_2_10s_5m -> 23.9 C | 3.48 V
17:27:25.211 sensor_2_10s_5m -> 23.9 C | 3.49 V
17:27:35.212 sensor_2_10s_5m -> 23.9 C | 3.48 V
17:27:45.712 sensor_2_10s_5m -> 23.9 C | 3.48 V
17:27:55.712 sensor_2_10s_5m -> 23.8 C | 3.48 V
17:28:06.214 sensor_2_10s_5m -> 23.8 C | 3.43 V
17:28:16.213 sensor_2_10s_5m -> 23.8 C | 3.47 V
17:28:26.710 sensor_2_10s_5m -> 23.8 C | 3.40 V
17:28:36.711 sensor_2_10s_5m -> 23.7 C | 3.47 V
17:28:47.213 sensor_2_10s_5m -> 23.7 C | 3.45 V
17:28:57.211 sensor_2_10s_5m -> 23.7 C | 3.46 V
17:29:07.212 sensor_2_10s_5m -> 23.7 C | 3.46 V
17:29:17.710 sensor_2_10s_5m -> 23.7 C | 3.46 V
17:29:27.710 sensor_2_10s_5m -> 23.7 C | 3.45 V
17:29:38.213 sensor_2_10s_5m -> 23.7 C | 3.45 V
17:29:48.211 sensor_2_10s_5m -> 23.7 C | 3.41 V
17:29:58.712 sensor_2_10s_5m -> 23.6 C | 3.44 V
17:30:08.711 sensor_2_10s_5m -> 23.6 C | 3.44 V
17:30:19.212 sensor_2_10s_5m -> 23.6 C | 3.42 V
17:30:29.212 sensor_2_10s_5m -> 23.6 C | 3.43 V
17:30:39.711 sensor_2_10s_5m -> 23.6 C | 3.42 V
17:30:49.712 sensor_2_10s_5m -> 23.6 C | 3.43 V
17:30:59.711 sensor_2_10s_5m -> 23.6 C | 3.43 V
17:31:10.212 sensor_2_10s_5m -> 23.6 C | 3.42 V
17:31:20.212 sensor_2_10s_5m -> 23.6 C | 3.42 V
17:31:30.711 sensor_2_10s_5m -> 23.6 C | 3.37 V
17:31:41.218 sensor_2_10s_5m -> 23.6 C | 3.42 V
17:31:52.712 sensor_2_10s_5m -> 23.6 C | 3.40 V
17:32:01.211 sensor_2_10s_5m -> 23.6 C | 3.33 V
17:32:11.712 sensor_2_10s_5m -> 23.6 C | 3.39 V
17:32:21.711 sensor_2_10s_5m -> 23.6 C | 3.40 V
17:32:31.711 sensor_2_10s_5m -> 23.6 C | 3.35 V
17:32:42.211 sensor_2_10s_5m -> 23.6 C | 3.40 V
17:32:52.212 sensor_2_10s_5m -> 23.6 C | 3.39 V
17:33:02.711 sensor_2_10s_5m -> 23.5 C | 3.39 V
17:33:14.735 sensor_2_10s_5m -> 23.5 C | 3.38 V
17:33:23.210 sensor_2_10s_5m -> 23.5 C | 3.37 V
17:33:33.211 sensor_2_10s_5m -> 23.5 C | 3.37 V
17:33:43.712 sensor_2_10s_5m -> 23.5 C | 3.35 V
17:33:53.712 sensor_2_10s_5m -> 23.5 C | 3.36 V
17:34:03.712 sensor_2_10s_5m -> 23.5 C | 3.36 V
17:34:14.734 sensor_2_10s_5m -> 23.5 C | 3.36 V
17:34:24.211 sensor_2_10s_5m -> 23.5 C | 3.36 V
17:34:34.711 sensor_2_10s_5m -> 23.5 C | 3.35 V
17:34:44.711 sensor_2_10s_5m -> 23.5 C | 3.35 V
