23:27:09,352 esp_1_5s_5m_CB -> 20,2 C | pin34= 1734 | Bat = 2,77 V
23:27:17,628 esp_1_5s_5m_CB -> 20,1 C | pin34= 1742 | Bat = 2,76 V
23:27:19,795 esp_1_5s_5m_CB -> 19,9 C | pin34= 1732 | Bat = 2,71 V
23:27:25,025 esp_1_5s_5m_CB -> 19,9 C | pin34= 1729 | Bat = 2,68 V
23:27:30,244 esp_1_5s_5m_CB -> 19,8 C | pin34= 1759 | Bat = 2,66 V
23:27:35,480 esp_1_5s_5m_CB -> 19,7 C | pin34= 1728 | Bat = 2,66 V
23:27:40,703 esp_1_5s_5m_CB -> 19,6 C | pin34= 1807 | Bat = 3,11 V
23:27:45,916 esp_1_5s_5m_CB -> 19,5 C | pin34= 1727 | Bat = 2,71 V
23:27:51,142 esp_1_5s_5m_CB -> 19,4 C | pin34= 1729 | Bat = 2,74 V
23:27:56,385 esp_1_5s_5m_CB -> 19,3 C | pin34= 1727 | Bat = 2,73 V
23:28:01,592 esp_1_5s_5m_CB -> 19,3 C | pin34= 1729 | Bat = 2,69 V
23:28:06,821 esp_1_5s_5m_CB -> 19,2 C | pin34= 1731 | Bat = 2,70 V
23:28:12,056 esp_1_5s_5m_CB -> 19,1 C | pin34= 1805 | Bat = 3,11 V
23:28:17,266 esp_1_5s_5m_CB -> 19,1 C | pin34= 1733 | Bat = 2,70 V
23:28:22,510 esp_1_5s_5m_CB -> 19,1 C | pin34= 1731 | Bat = 2,72 V
23:28:27,809 esp_1_5s_5m_CB -> 18,9 C | pin34= 1728 | Bat = 2,72 V
23:28:32,952 esp_1_5s_5m_CB -> 18,9 C | pin34= 1730 | Bat = 2,73 V
23:28:38,229 esp_1_5s_5m_CB -> 18,9 C | pin34= 1749 | Bat = 2,67 V
23:28:43,409 esp_1_5s_5m_CB -> 18,8 C | pin34= 1804 | Bat = 3,08 V
23:28:48,660 esp_1_5s_5m_CB -> 18,8 C | pin34= 1731 | Bat = 2,67 V
23:28:53,898 esp_1_5s_5m_CB -> 18,7 C | pin34= 1733 | Bat = 2,69 V
23:28:59,089 esp_1_5s_5m_CB -> 18,7 C | pin34= 1728 | Bat = 2,70 V
23:29:04,314 esp_1_5s_5m_CB -> 18,6 C | pin34= 1723 | Bat = 2,70 V
23:29:09,535 esp_1_5s_5m_CB -> 18,6 C | pin34= 1727 | Bat = 2,67 V
23:29:14,764 esp_1_5s_5m_CB -> 18,5 C | pin34= 1802 | Bat = 2,95 V
23:29:19,974 esp_1_5s_5m_CB -> 18,5 C | pin34= 1726 | Bat = 2,65 V
23:29:25,201 esp_1_5s_5m_CB -> 18,4 C | pin34= 1724 | Bat = 2,66 V
23:29:30,440 esp_1_5s_5m_CB -> 18,4 C | pin34= 1725 | Bat = 2,69 V
23:29:35,664 esp_1_5s_5m_CB -> 18,3 C | pin34= 1725 | Bat = 2,71 V
23:29:40,880 esp_1_5s_5m_CB -> 18,3 C | pin34= 1727 | Bat = 2,71 V
23:29:46,117 esp_1_5s_5m_CB -> 18,3 C | pin34= 1801 | Bat = 3,11 V
23:29:51,325 esp_1_5s_5m_CB -> 18,2 C | pin34= 1729 | Bat = 2,66 V
23:29:56,565 esp_1_5s_5m_CB -> 18,2 C | pin34= 1727 | Bat = 2,65 V
23:30:01,783 esp_1_5s_5m_CB -> 18,1 C | pin34= 1724 | Bat = 2,67 V
23:30:06,997 esp_1_5s_5m_CB -> 18,1 C | pin34= 1722 | Bat = 2,69 V
23:30:12,229 esp_1_5s_5m_CB -> 18,1 C | pin34= 1720 | Bat = 2,69 V
23:30:17,470 esp_1_5s_5m_CB -> 18,0 C | pin34= 1800 | Bat = 3,10 V
23:30:22,692 esp_1_5s_5m_CB -> 17,9 C | pin34= 1717 | Bat = 2,64 V
23:30:27,898 esp_1_5s_5m_CB -> 17,9 C | pin34= 1715 | Bat = 2,63 V
23:30:33,124 esp_1_5s_5m_CB -> 17,9 C | pin34= 1717 | Bat = 2,65 V
23:30:38,355 esp_1_5s_5m_CB -> 17,9 C | pin34= 1712 | Bat = 2,67 V
23:30:43,579 esp_1_5s_5m_CB -> 17,8 C | pin34= 1713 | Bat = 2,68 V
23:30:48,824 esp_1_5s_5m_CB -> 17,8 C | pin34= 1797 | Bat = 3,08 V
23:30:54,042 esp_1_5s_5m_CB -> 17,8 C | pin34= 1754 | Bat = 2,64 V
23:30:59,269 esp_1_5s_5m_CB -> 17,8 C | pin34= 1724 | Bat = 2,64 V
23:31:04,475 esp_1_5s_5m_CB -> 17,8 C | pin34= 1726 | Bat = 2,66 V
23:31:09,704 esp_1_5s_5m_CB -> 17,7 C | pin34= 1719 | Bat = 2,68 V
23:31:14,932 esp_1_5s_5m_CB -> 17,7 C | pin34= 1726 | Bat = 2,69 V
23:31:20,178 esp_1_5s_5m_CB -> 17,6 C | pin34= 1799 | Bat = 3,07 V
23:31:25,392 esp_1_5s_5m_CB -> 17,6 C | pin34= 1721 | Bat = 2,63 V
23:31:30,607 esp_1_5s_5m_CB -> 17,6 C | pin34= 1722 | Bat = 2,62 V
23:31:35,827 esp_1_5s_5m_CB -> 17,6 C | pin34= 1722 | Bat = 2,66 V
23:31:41,055 esp_1_5s_5m_CB -> 17,6 C | pin34= 1719 | Bat = 2,67 V
23:31:46,278 esp_1_5s_5m_CB -> 17,6 C | pin34= 1722 | Bat = 2,67 V
23:31:51,532 esp_1_5s_5m_CB -> 17,6 C | pin34= 1794 | Bat = 3,06 V
23:31:56,736 esp_1_5s_5m_CB -> 17,5 C | pin34= 1723 | Bat = 2,61 V
23:32:01,955 esp_1_5s_5m_CB -> 17,4 C | pin34= 1755 | Bat = 2,62 V
23:32:07,199 esp_1_5s_5m_CB -> 17,4 C | pin34= 1725 | Bat = 2,63 V
23:32:12,420 esp_1_5s_5m_CB -> 17,4 C | pin34= 1718 | Bat = 2,66 V
23:32:17,649 esp_1_5s_5m_CB -> 17,3 C | pin34= 1722 | Bat = 2,66 V
23:32:22,885 esp_1_5s_5m_CB -> 17,3 C | pin34= 1794 | Bat = 3,06 V
23:32:28,093 esp_1_5s_5m_CB -> 17,2 C | pin34= 1723 | Bat = 2,63 V
23:32:33,307 esp_1_5s_5m_CB -> 17,2 C | pin34= 1717 | Bat = 2,63 V
23:32:38,545 esp_1_5s_5m_CB -> 17,2 C | pin34= 1724 | Bat = 2,65 V
23:32:43,760 esp_1_5s_5m_CB -> 17,2 C | pin34= 1720 | Bat = 2,67 V
23:32:48,990 esp_1_5s_5m_CB -> 17,2 C | pin34= 1727 | Bat = 2,67 V
23:32:54,240 esp_1_5s_5m_CB -> 17,2 C | pin34= 1730 | Bat = 3,07 V
23:32:59,434 esp_1_5s_5m_CB -> 17,2 C | pin34= 1723 | Bat = 2,62 V
23:33:04,666 esp_1_5s_5m_CB -> 17,1 C | pin34= 1722 | Bat = 2,62 V
23:33:09,907 esp_1_5s_5m_CB -> 17,1 C | pin34= 1716 | Bat = 2,64 V
23:33:15,118 esp_1_5s_5m_CB -> 17,1 C | pin34= 1723 | Bat = 2,66 V
23:33:20,362 esp_1_5s_5m_CB -> 17,1 C | pin34= 1722 | Bat = 2,66 V
23:33:25,559 esp_1_5s_5m_CB -> 17,1 C | pin34= 1723 | Bat = 3,07 V
23:33:30,798 esp_1_5s_5m_CB -> 17,1 C | pin34= 1749 | Bat = 2,60 V
23:33:36,028 esp_1_5s_5m_CB -> 17,1 C | pin34= 1719 | Bat = 2,61 V
23:33:41,242 esp_1_5s_5m_CB -> 17,1 C | pin34= 1718 | Bat = 2,65 V
23:33:46,482 esp_1_5s_5m_CB -> 17,0 C | pin34= 1719 | Bat = 2,65 V
23:33:51,693 esp_1_5s_5m_CB -> 17,0 C | pin34= 1729 | Bat = 2,64 V
23:33:56,913 esp_1_5s_5m_CB -> 16,9 C | pin34= 1727 | Bat = 3,06 V
23:34:02,165 esp_1_5s_5m_CB -> 16,9 C | pin34= 1718 | Bat = 2,62 V
23:34:07,379 esp_1_5s_5m_CB -> 16,9 C | pin34= 1725 | Bat = 2,63 V
23:34:12,610 esp_1_5s_5m_CB -> 16,9 C | pin34= 1722 | Bat = 2,64 V
23:34:17,829 esp_1_5s_5m_CB -> 16,9 C | pin34= 1727 | Bat = 2,64 V
23:34:23,048 esp_1_5s_5m_CB -> 16,9 C | pin34= 1722 | Bat = 2,62 V
23:34:28,267 esp_1_5s_5m_CB -> 16,9 C | pin34= 1795 | Bat = 2,88 V
23:34:33,505 esp_1_5s_5m_CB -> 16,9 C | pin34= 1720 | Bat = 2,61 V
23:34:38,722 esp_1_5s_5m_CB -> 16,9 C | pin34= 1719 | Bat = 2,63 V
23:34:43,936 esp_1_5s_5m_CB -> 16,9 C | pin34= 1722 | Bat = 2,66 V
23:34:49,163 esp_1_5s_5m_CB -> 16,9 C | pin34= 1723 | Bat = 2,67 V
23:34:54,412 esp_1_5s_5m_CB -> 16,9 C | pin34= 1719 | Bat = 2,61 V
23:34:59,621 esp_1_5s_5m_CB -> 16,9 C | pin34= 1795 | Bat = 3,07 V
23:35:04,850 esp_1_5s_5m_CB -> 16,9 C | pin34= 1723 | Bat = 2,60 V
23:35:10,067 esp_1_5s_5m_CB -> 16,9 C | pin34= 1718 | Bat = 2,62 V
23:35:15,324 esp_1_5s_5m_CB -> 16,9 C | pin34= 1718 | Bat = 2,65 V
23:35:20,529 esp_1_5s_5m_CB -> 16,9 C | pin34= 1734 | Bat = 2,66 V
23:35:25,752 esp_1_5s_5m_CB -> 16,9 C | pin34= 1713 | Bat = 2,60 V
23:35:30,974 esp_1_5s_5m_CB -> 16,9 C | pin34= 1797 | Bat = 3,07 V
23:35:36,198 esp_1_5s_5m_CB -> 16,9 C | pin34= 1719 | Bat = 2,62 V
23:35:41,436 esp_1_5s_5m_CB -> 16,9 C | pin34= 1723 | Bat = 2,64 V
23:35:46,653 esp_1_5s_5m_CB -> 16,9 C | pin34= 1713 | Bat = 2,65 V
23:35:51,867 esp_1_5s_5m_CB -> 16,9 C | pin34= 1717 | Bat = 2,65 V
23:35:57,097 esp_1_5s_5m_CB -> 16,9 C | pin34= 1719 | Bat = 2,62 V
23:36:02,329 esp_1_5s_5m_CB -> 16,9 C | pin34= 1794 | Bat = 3,05 V
23:36:07,558 esp_1_5s_5m_CB -> 16,9 C | pin34= 1724 | Bat = 2,61 V
23:36:12,768 esp_1_5s_5m_CB -> 16,9 C | pin34= 1722 | Bat = 2,64 V
23:36:17,993 esp_1_5s_5m_CB -> 16,9 C | pin34= 1717 | Bat = 2,66 V
23:36:23,240 esp_1_5s_5m_CB -> 16,9 C | pin34= 1717 | Bat = 2,62 V
23:36:28,445 esp_1_5s_5m_CB -> 16,9 C | pin34= 1745 | Bat = 2,62 V
23:36:33,683 esp_1_5s_5m_CB -> 16,9 C | pin34= 1792 | Bat = 3,04 V
23:36:38,900 esp_1_5s_5m_CB -> 16,9 C | pin34= 1717 | Bat = 2,62 V
23:36:44,119 esp_1_5s_5m_CB -> 16,8 C | pin34= 1719 | Bat = 2,64 V
23:36:49,353 esp_1_5s_5m_CB -> 16,8 C | pin34= 1715 | Bat = 2,65 V
23:36:54,585 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,62 V
23:36:59,834 esp_1_5s_5m_CB -> 16,8 C | pin34= 1725 | Bat = 2,60 V
23:37:05,036 esp_1_5s_5m_CB -> 16,8 C | pin34= 1797 | Bat = 3,06 V
23:37:10,260 esp_1_5s_5m_CB -> 16,9 C | pin34= 1723 | Bat = 2,63 V
23:37:15,473 esp_1_5s_5m_CB -> 16,8 C | pin34= 1719 | Bat = 2,66 V
23:37:20,717 esp_1_5s_5m_CB -> 16,8 C | pin34= 1719 | Bat = 2,66 V
23:37:25,940 esp_1_5s_5m_CB -> 16,8 C | pin34= 1717 | Bat = 2,61 V
23:37:31,157 esp_1_5s_5m_CB -> 16,8 C | pin34= 1721 | Bat = 2,60 V
23:37:36,389 esp_1_5s_5m_CB -> 16,8 C | pin34= 1796 | Bat = 3,05 V
23:37:41,599 esp_1_5s_5m_CB -> 16,8 C | pin34= 1716 | Bat = 2,62 V
23:37:46,843 esp_1_5s_5m_CB -> 16,8 C | pin34= 1717 | Bat = 2,66 V
23:37:52,054 esp_1_5s_5m_CB -> 16,8 C | pin34= 1716 | Bat = 2,63 V
23:37:57,278 esp_1_5s_5m_CB -> 16,8 C | pin34= 1741 | Bat = 2,61 V
23:38:02,517 esp_1_5s_5m_CB -> 16,8 C | pin34= 1718 | Bat = 2,60 V
23:38:07,743 esp_1_5s_5m_CB -> 16,8 C | pin34= 1792 | Bat = 3,04 V
23:38:12,970 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,64 V
23:38:18,176 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,64 V
23:38:23,409 esp_1_5s_5m_CB -> 16,7 C | pin34= 1715 | Bat = 2,59 V
23:38:28,629 esp_1_5s_5m_CB -> 16,7 C | pin34= 1711 | Bat = 2,58 V
23:38:33,871 esp_1_5s_5m_CB -> 16,7 C | pin34= 1709 | Bat = 2,58 V
23:38:39,099 esp_1_5s_5m_CB -> 16,7 C | pin34= 1792 | Bat = 3,05 V
23:38:44,323 esp_1_5s_5m_CB -> 16,7 C | pin34= 1711 | Bat = 2,63 V
23:38:49,539 esp_1_5s_5m_CB -> 16,7 C | pin34= 1712 | Bat = 2,64 V
23:38:54,773 esp_1_5s_5m_CB -> 16,7 C | pin34= 1709 | Bat = 2,60 V
23:38:59,983 esp_1_5s_5m_CB -> 16,7 C | pin34= 1710 | Bat = 2,60 V
23:39:05,202 esp_1_5s_5m_CB -> 16,7 C | pin34= 1741 | Bat = 2,60 V
23:39:10,450 esp_1_5s_5m_CB -> 16,7 C | pin34= 1792 | Bat = 3,04 V
23:39:15,654 esp_1_5s_5m_CB -> 16,7 C | pin34= 1716 | Bat = 2,65 V
23:39:20,887 esp_1_5s_5m_CB -> 16,7 C | pin34= 1717 | Bat = 2,64 V
23:39:26,110 esp_1_5s_5m_CB -> 16,7 C | pin34= 1744 | Bat = 2,61 V
23:39:31,365 esp_1_5s_5m_CB -> 16,7 C | pin34= 1716 | Bat = 2,60 V
23:39:36,564 esp_1_5s_5m_CB -> 16,7 C | pin34= 1719 | Bat = 2,60 V
23:39:41,804 esp_1_5s_5m_CB -> 16,7 C | pin34= 1791 | Bat = 3,04 V
23:39:47,027 esp_1_5s_5m_CB -> 16,7 C | pin34= 1722 | Bat = 2,65 V
23:39:52,231 esp_1_5s_5m_CB -> 16,7 C | pin34= 1712 | Bat = 2,60 V
23:39:57,456 esp_1_5s_5m_CB -> 16,6 C | pin34= 1718 | Bat = 2,58 V
23:40:02,687 esp_1_5s_5m_CB -> 16,6 C | pin34= 1716 | Bat = 2,58 V
23:40:07,913 esp_1_5s_5m_CB -> 16,6 C | pin34= 1718 | Bat = 2,60 V
23:40:13,158 esp_1_5s_5m_CB -> 16,6 C | pin34= 1792 | Bat = 3,03 V
23:40:18,437 esp_1_5s_5m_CB -> 16,6 C | pin34= 1718 | Bat = 2,63 V
23:40:23,605 esp_1_5s_5m_CB -> 16,6 C | pin34= 1717 | Bat = 2,59 V
23:40:28,827 esp_1_5s_5m_CB -> 16,6 C | pin34= 1715 | Bat = 2,58 V
23:40:34,036 esp_1_5s_5m_CB -> 16,7 C | pin34= 1747 | Bat = 2,58 V
23:40:39,275 esp_1_5s_5m_CB -> 16,7 C | pin34= 1715 | Bat = 2,60 V
23:40:44,513 esp_1_5s_5m_CB -> 16,7 C | pin34= 1796 | Bat = 2,89 V
23:40:49,718 esp_1_5s_5m_CB -> 16,7 C | pin34= 1715 | Bat = 2,62 V
23:40:54,942 esp_1_5s_5m_CB -> 16,7 C | pin34= 1749 | Bat = 2,60 V
23:41:00,168 esp_1_5s_5m_CB -> 16,7 C | pin34= 1719 | Bat = 2,60 V
23:41:05,386 esp_1_5s_5m_CB -> 16,7 C | pin34= 1720 | Bat = 2,60 V
23:41:10,620 esp_1_5s_5m_CB -> 16,7 C | pin34= 1717 | Bat = 2,62 V
23:41:15,865 esp_1_5s_5m_CB -> 16,7 C | pin34= 1791 | Bat = 3,03 V
23:41:21,063 esp_1_5s_5m_CB -> 16,7 C | pin34= 1715 | Bat = 2,61 V
23:41:26,288 esp_1_5s_5m_CB -> 16,7 C | pin34= 1717 | Bat = 2,58 V
23:41:31,517 esp_1_5s_5m_CB -> 16,7 C | pin34= 1718 | Bat = 2,58 V
23:41:36,736 esp_1_5s_5m_CB -> 16,7 C | pin34= 1712 | Bat = 2,59 V
23:41:41,982 esp_1_5s_5m_CB -> 16,7 C | pin34= 1715 | Bat = 2,61 V
23:41:47,219 esp_1_5s_5m_CB -> 16,7 C | pin34= 1727 | Bat = 3,03 V
23:41:52,412 esp_1_5s_5m_CB -> 16,7 C | pin34= 1716 | Bat = 2,59 V
23:41:57,640 esp_1_5s_5m_CB -> 16,7 C | pin34= 1718 | Bat = 2,58 V
23:42:02,865 esp_1_5s_5m_CB -> 16,8 C | pin34= 1749 | Bat = 2,57 V
23:42:08,099 esp_1_5s_5m_CB -> 16,8 C | pin34= 1714 | Bat = 2,60 V
23:42:13,330 esp_1_5s_5m_CB -> 16,8 C | pin34= 1718 | Bat = 2,63 V
23:42:18,539 esp_1_5s_5m_CB -> 16,8 C | pin34= 1718 | Bat = 3,03 V
23:42:23,780 esp_1_5s_5m_CB -> 16,8 C | pin34= 1744 | Bat = 2,59 V
23:42:29,003 esp_1_5s_5m_CB -> 16,8 C | pin34= 1714 | Bat = 2,59 V
23:42:34,217 esp_1_5s_5m_CB -> 16,8 C | pin34= 1714 | Bat = 2,60 V
23:42:39,445 esp_1_5s_5m_CB -> 16,8 C | pin34= 1714 | Bat = 2,61 V
23:42:44,680 esp_1_5s_5m_CB -> 16,8 C | pin34= 1718 | Bat = 2,63 V
23:42:49,893 esp_1_5s_5m_CB -> 16,8 C | pin34= 1721 | Bat = 3,02 V
23:42:55,117 esp_1_5s_5m_CB -> 16,8 C | pin34= 1715 | Bat = 2,59 V
23:43:00,355 esp_1_5s_5m_CB -> 16,8 C | pin34= 1717 | Bat = 2,58 V
23:43:05,575 esp_1_5s_5m_CB -> 16,8 C | pin34= 1715 | Bat = 2,59 V
23:43:10,791 esp_1_5s_5m_CB -> 16,8 C | pin34= 1714 | Bat = 2,61 V
23:43:16,038 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,62 V
23:43:21,247 esp_1_5s_5m_CB -> 16,8 C | pin34= 1790 | Bat = 3,02 V
23:43:26,489 esp_1_5s_5m_CB -> 16,8 C | pin34= 1713 | Bat = 2,58 V
23:43:31,695 esp_1_5s_5m_CB -> 16,7 C | pin34= 1744 | Bat = 2,57 V
23:43:36,927 esp_1_5s_5m_CB -> 16,7 C | pin34= 1716 | Bat = 2,59 V
23:43:42,143 esp_1_5s_5m_CB -> 16,7 C | pin34= 1714 | Bat = 2,61 V
23:43:47,385 esp_1_5s_5m_CB -> 16,7 C | pin34= 1718 | Bat = 2,62 V
23:43:52,600 esp_1_5s_5m_CB -> 16,6 C | pin34= 1792 | Bat = 3,03 V
23:43:57,819 esp_1_5s_5m_CB -> 16,6 C | pin34= 1713 | Bat = 2,59 V
23:44:03,057 esp_1_5s_5m_CB -> 16,6 C | pin34= 1715 | Bat = 2,59 V
23:44:08,280 esp_1_5s_5m_CB -> 16,6 C | pin34= 1715 | Bat = 2,61 V
23:44:13,494 esp_1_5s_5m_CB -> 16,6 C | pin34= 1712 | Bat = 2,63 V
23:44:18,735 esp_1_5s_5m_CB -> 16,6 C | pin34= 1721 | Bat = 2,60 V
23:44:23,954 esp_1_5s_5m_CB -> 16,6 C | pin34= 1792 | Bat = 3,03 V
23:44:29,177 esp_1_5s_5m_CB -> 16,7 C | pin34= 1713 | Bat = 2,58 V
23:44:34,403 esp_1_5s_5m_CB -> 16,6 C | pin34= 1712 | Bat = 2,58 V
23:44:39,625 esp_1_5s_5m_CB -> 16,6 C | pin34= 1715 | Bat = 2,60 V
23:44:44,859 esp_1_5s_5m_CB -> 16,7 C | pin34= 1718 | Bat = 2,62 V
23:44:50,088 esp_1_5s_5m_CB -> 16,7 C | pin34= 1712 | Bat = 2,58 V
23:44:55,308 esp_1_5s_5m_CB -> 16,7 C | pin34= 1792 | Bat = 3,02 V
23:45:00,532 esp_1_5s_5m_CB -> 16,7 C | pin34= 1744 | Bat = 2,55 V
23:45:05,748 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,60 V
23:45:10,975 esp_1_5s_5m_CB -> 16,8 C | pin34= 1715 | Bat = 2,59 V
23:45:16,202 esp_1_5s_5m_CB -> 16,8 C | pin34= 1717 | Bat = 2,60 V
23:45:21,429 esp_1_5s_5m_CB -> 16,8 C | pin34= 1728 | Bat = 2,55 V
23:45:26,662 esp_1_5s_5m_CB -> 16,8 C | pin34= 1791 | Bat = 3,01 V
23:45:31,880 esp_1_5s_5m_CB -> 16,8 C | pin34= 1713 | Bat = 2,58 V
23:45:37,110 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,59 V
23:45:42,338 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,61 V
23:45:47,573 esp_1_5s_5m_CB -> 16,8 C | pin34= 1713 | Bat = 2,57 V
23:45:52,800 esp_1_5s_5m_CB -> 16,8 C | pin34= 1715 | Bat = 2,56 V
23:45:58,015 esp_1_5s_5m_CB -> 16,8 C | pin34= 1792 | Bat = 2,87 V
23:46:03,228 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,57 V
23:46:08,469 esp_1_5s_5m_CB -> 16,8 C | pin34= 1713 | Bat = 2,59 V
23:46:13,687 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,61 V
23:46:18,922 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,56 V
23:46:24,128 esp_1_5s_5m_CB -> 16,8 C | pin34= 1712 | Bat = 2,56 V
23:46:29,369 esp_1_5s_5m_CB -> 16,7 C | pin34= 1790 | Bat = 3,01 V
23:46:34,590 esp_1_5s_5m_CB -> 16,7 C | pin34= 1703 | Bat = 2,59 V
23:46:39,813 esp_1_5s_5m_CB -> 16,7 C | pin34= 1707 | Bat = 2,60 V
23:46:45,032 esp_1_5s_5m_CB -> 16,7 C | pin34= 1712 | Bat = 2,60 V
23:46:50,259 esp_1_5s_5m_CB -> 16,7 C | pin34= 1729 | Bat = 2,56 V
23:46:55,479 esp_1_5s_5m_CB -> 16,7 C | pin34= 1702 | Bat = 2,55 V
23:47:00,724 esp_1_5s_5m_CB -> 16,7 C | pin34= 1787 | Bat = 3,01 V
23:47:05,935 esp_1_5s_5m_CB -> 16,7 C | pin34= 1707 | Bat = 2,59 V
